Id,nFORCE__Feature_Translation__c,nFORCE__Translation_Key__c,nFORCE__Original_Text__c,nFORCE__Translated_Text__c,proposed_spanish,tracker_id,notes
a4AAU000003QnzR2AS,Product_Line_Names,es:Product_Line_Names:sniOGra+ZfHDi/fSPNCB8Q==,Commercial,,,,
a4AAU000003QnzT2AS,Product_Line_Names,es:Product_Line_Names:kvgL1XWSr2UYjKJ3hlFMyg==,Deposit,,,,
a4AAU000003vC5z2AE,Product_Line_Names,es:Product_Line_Names:Kib3+wfjT3ySdxjAmBF9Kw==,TWC,,,,
a4AAU000003QnzU2AS,Product_Line_Names,es:Product_Line_Names:iSs9aiMs7Gj8NXmk9DSEEQ==,Trade Finance,,,,
a4AAU000003QnzS2AS,Product_Line_Names,es:Product_Line_Names:IOloou9MvcW+peNNCx5zMw==,Treasury,,,,
a4AAU000003Qo132AC,Product_Names,es:Product_Names:HFg/YKQEVSqoUFr064tM+A==,ACH Origination,,,,
a4AAU000003Qo152AC,Product_Names,es:Product_Names:urROJ9lEeHEBoHoQUyOfaw==,Business Checking,,,,
a4AAU000003Qo1C2AS,Product_Names,es:Product_Names:X5iXqTurcwtCXmYE8G2B8w==,Confirming Contract,,,,
a4AAU000003vCFf2AM,Product_Names,es:Product_Names:Hrd0Vj+GQlgMwkqBXwTapg==,Contract - Fee Fixed,,,,
a4AAU000003vCFe2AM,Product_Names,es:Product_Names:MHtTUrxhlTMUsrC5CFE+sw==,Contract - Fee Tiered,,,,
a4AAU000003vCFg2AM,Product_Names,es:Product_Names:wsLbTYAufjo4xD29JtUG8g==,Contract - Hybrid Fixed,,,,
a4AAU000003vCFh2AM,Product_Names,es:Product_Names:wIPALqpH3Bp0pw5ElTpMtQ==,Contract - Hybrid Tiered,,,,
a4AAU000003vCFd2AM,Product_Names,es:Product_Names:fd0HVhqxJ7tbkr49HW4RVQ==,Contract - Interest,,,,
a4AAU000003Qo192AC,Product_Names,es:Product_Names:N7GrCWv9Gq3HYQJJZT9d6A==,Factoring Contract,,,,
a4AAU000003Qo142AC,Product_Names,es:Product_Names:drakegJoXVF5S5/bCVUS5Q==,Purchase,,,,
a4AAU000003j9rp2AA,Product_Names,es:Product_Names:ftR+qdQkV1Nu0680qBNKUw==,Receivable,,,,
a4AAU000003Qo162AC,Product_Names,es:Product_Names:Z6waCTYq3/jPm+FLJqIlUA==,Term Loan,,,,
a4AAU000003Qo172AC,Product_Names,es:Product_Names:+x4PnoTI71AHf91lHrduDA==,Unsecured Line of Credit,,,,
a4AAU000003Qo182AC,Product_Names,es:Product_Names:hCybp91GgeBmiSWW4wEgKw==,Working Capital,,,,
a4AAU000003Qo2h2AC,Product_Type_Names,es:Product_Type_Names:pK6eWdSuZ5IWZkzj7XjODA==,Business Banking,,,,
a4AAU000003Qo2l2AC,Product_Type_Names,es:Product_Type_Names:RzsCbUOc/QqN1EHawwVBBA==,Confirming,,Confirming,PRD-CONFIRMING,MATCHED TO TWC ITEM
a4AAU000003Qo2g2AC,Product_Type_Names,es:Product_Type_Names:qjN/82lrhdtOR7BmSvk36A==,Electronic Payments,,,,
a4AAU000003Qo2k2AC,Product_Type_Names,es:Product_Type_Names:H+eEoBth0xNQ21/8K1jJug==,Factoring,,Factoring,PRD-FACTORING,MATCHED TO TWC ITEM
a4AAU000003Qo2f2AC,Product_Type_Names,es:Product_Type_Names:2EUUrPbdLbusUad705TgrA==,Real Estate,,,,
a4AAU000003vCHF2A2,Product_Type_Names,es:Product_Type_Names:TaqFBUqE3MTWdxabEpK69Q==,Reverse Factoring,,,,
a4AAU000003Qo2j2AC,Product_Type_Names,es:Product_Type_Names:vStyON1b4oddUn1iqIDQQw==,Sole Trader,,,,
a4AAU000003Qo2i2AC,Product_Type_Names,es:Product_Type_Names:MnsaWoW7Tdy+9sYJUaZ7bA==,Trading Business,,,,
a4AAU000003QoCO2A0,Role_Names,es:Role_Names:q0f5wIWWkvNccsuhYJhq0Q==,Closer,,,,
a4AAU000003QoCM2A0,Role_Names,es:Role_Names:7CWaeW+mQwbkrgKrB1qpmQ==,Credit Analyst / Underwriter,,,,
a4AAU000003QoCQ2A0,Role_Names,es:Role_Names:c9lfmAtfJBhbrw14rgT9kw==,Loan Approver,,,,
a4AAU000003QoCR2A0,Role_Names,es:Role_Names:vOwM3Q/V+DO2GIln9tWcvw==,Loan Approver Queue,,,,
a4AAU000003QoCN2A0,Role_Names,es:Role_Names:2eexn0gVGpufRSWhAbkFNw==,Loan Assistant,,,,
a4AAU000003QoCS2A0,Role_Names,es:Role_Names:N7ok87/g1CQVDL/1/ePh/A==,Loan Ops,,,,
a4AAU000003QoCP2A0,Role_Names,es:Role_Names:UdouxatoEiaA/b4eqO8F2w==,Portfolio Manager,,,,
