Id,nFORCE__Translated_Text__c,tracker_id,nFORCE__Original_Text__c,nFORCE__Feature_Translation__c
a4AAU000003QowM2AS,Aprobaciones,EV-002/NC-029,Approvals,Route_Names
a4AAU000003QowX2AS,Condiciones de precio,NC-011,Pricing Conditions,Route_Names
a4AAU000003Qp8F2AS,Garantía,NC-014/NC-039,Guarantee,Section_Names
a4AAU000003Qovy2AC,Garantía,NC-014(route),Guarantee,Route_Names
a4AAU000003Qp0M2AS,Garantía,NC-014(screen),Guarantee,Screen_Names
a4AAU000003Qow92AC,Condiciones,NC-015/NC-046,Conditions,Route_Names
a4AAU000003Qots2AC,Contrato,PRD-003,Loan,Route_Names
a4AAU000003Qo2k2AC,Factoring,PRD-FACTORING,Factoring,Product_Type_Names
a4AAU000003Qo2l2AC,Confirming,PRD-CONFIRMING,Confirming,Product_Type_Names
a4AAU000003Qov72AC,DocuSign,REL-009,DocuSign,Route_Names
a4AAU000003Qoxs2AC,Resumen de garantías,NC-040(screen),Guarantee Summary,Screen_Names
a4AAU000003Qp5d2AC,Resumen de garantías,NC-040(section),Guarantee Summary,Section_Names
a4AAU000003Qov62AC,Garantías asignadas,COLL(route),Collateral Pledged,Route_Names
a4AAU000003Qp9U2AS,Garantías asignadas,COLL(section),Collateral Pledged,Section_Names
